Dog;Sex;Breed;Age(m);subgroup;subgroup_described;demonstrator;targett.;touchscr.;eyetrack;Sniff_LID_binary;Sniff_DOT_binary;Sniff_lid_dot_binary;dot_blue;dot_yellow;lid(L-to-R);lid(R-to-L);Right_order_dots;copying_fidelity;at_least_1dot;2dots(incorrectly);opening_lid_however;1dot+lid;1dot+lid_corr;2dots+lid;2dots+lid_corr;proxi_lid_BIN;sniff_and_proxi_lid;sniff_and_proxi_lid_AND_opening_lid;just_sniff_AND_opening_the_lid;proxi_dots_BIN;sniff_and_proxi_dots;sniff_proxi_dots_AND_touch;touching_dots;fidelity_IRRELEVANT;fidelity_RELEVANT;
Holly6;1;beagle;20;1;rel;experimenter;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Izy;1;pondenco;76;1;rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Alfonso;2;mix;33;1;rel;experimenter;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Sonja;1;cattledog mix;20;1;rel;experimenter;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Sixtus;2;mix;24;1;rel;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Amy8;1;border collie;100;1;rel;experimenter;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;2;2;0;0;0;0;0;3;
Charlie;2;australian_shepherd;45;1;rel;experimenter;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Baghira;2;australian_shepherd;86;1;rel;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Merlin3;2;border collie;103;1;rel;experimenter;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;0;0;0;0;0;4;
Orlando;2;collie;96;1;rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Arkani2;2;belg shepherd;51;1;rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Monty2;2;border collie;103;1;rel;experimenter;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;4;
Weischel;1;beagle;146;1;rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;
Kiwi5;1;mix;55;1;rel;experimenter;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;
ShuShu;1;mix;55;1;rel;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Amy11;1;border collie;111;2;irr;experimenter;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;4;
Bam Bam;2;rottweiler;27;2;irr;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Mailo;2;mix;36;2;irr;experimenter;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kimmy3;1;podenco mix;93;2;irr;experimenter;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;2;1;
Olivi;1;mix;60;2;irr;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fibi5;1;mix;79;2;irr;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Asha;1;Rhod. Ridgeback;19;2;irr;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Bilbo;2;retriever;15;2;irr;experimenter;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Elrond;2;retriever;114;2;irr;experimenter;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;3;1;
Hugo3;2;bernese mountain dog;112;2;irr;experimenter;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;2;2;
Fenja2;1;mix;122;2;irr;experimenter;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;0;
Anton2;2;mix;74;2;irr;experimenter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;
Guinness3;2;mix;76;2;irr;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lenni;2;greyhound;67;2;irr;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Franzi;1;mix;59;2;irr;experimenter;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;2;1;
